name,prefecture,city,location_raw,url,mola_star,lat,lng,has_elephant,has_giraffe,has_lion,has_tiger,has_panda,has_gorilla,has_hippo,has_koala,has_polar_bear,has_red_panda,is_closed,closed_at
那須サファリパーク,栃木県,那須郡那須町,,http://www.nasusafari.com/,0,37.0587204,140.0041526,True,True,True,True,False,False,True,False,False,False,False,
桐生が岡動物園,群馬県,桐生市,,http://www.city.kiryu.lg.jp/zoo/index.html,0,36.4206189,139.3397621,False,True,False,False,False,False,False,False,False,False,False,
群馬サファリパーク,群馬県,富岡市,,http://www.safari.co.jp/,0,36.2258133,138.8850624,True,True,True,True,False,False,False,False,False,False,False,
日立市かみね動物園,茨城県,日立市,,http://www.city.hitachi.lg.jp/zoo/,0,36.6075355,140.6591958,True,True,False,True,False,False,True,False,False,True,False,
埼玉県大宮公園小動物園,埼玉県,さいたま市大宮区,,http://www.parks.or.jp/omiyazoo/,0,35.9184862,139.6324525,False,False,False,False,False,False,False,False,False,False,False,
さいたま市大崎公園子供動物園,埼玉県,さいたま市緑区,,https://www.saitama-park.co.jp/oosaki-park/,0,35.8842538,139.7149353,False,False,False,False,False,False,False,False,False,True,False,
埼玉県こども動物自然公園,埼玉県,東松山市,,http://www.parks.or.jp/sczoo/,0,35.9949528,139.3745402,False,True,False,False,False,False,False,True,False,True,False,
東武動物公園,埼玉県,南埼玉郡宮代町,,http://www.tobuzoo.com/zoo/,0,36.0248138,139.7267541,True,True,True,True,False,False,True,False,False,True,False,
狭山市立智光山公園こども動物園,埼玉県,狭山市,,http://www.parks.or.jp/chikozan/zoo/,0,,,False,False,False,False,False,False,False,False,False,False,False,
東京都恩賜上野動物園,東京都,台東区,,http://www.tokyo-zoo.net/zoo/ueno/index.html,0,35.7153426,139.768896,True,True,False,True,True,True,True,False,True,True,False,
東京都多摩動物公園,東京都,日野市,,http://www.tokyo-zoo.net/zoo/tama/index.html,0,35.6507492,139.4008953,True,True,True,True,False,False,False,True,False,True,False,
東京都井の頭自然文化園,東京都,武蔵野市,,http://www.tokyo-zoo.net/zoo/ino/index.html,0,35.700695,139.5711865,False,False,False,False,False,False,False,False,False,False,False,
東京都立大島公園,東京都,大島町,,https://www.soumu.metro.tokyo.lg.jp/11osima/osima/park/zoo,0,34.9282764,135.78785,False,False,False,False,False,False,False,False,False,True,False,
